Colombia,Finca El Paraiso,Piendamo;Cauca,Double Anaerobic Washed,8.58,8.5,8.42,8.58,8.25,8.42,8.58
Costa Rica,Gamboa Farm,Tarrazu,Washed / Wet,7.58,7.83,7.5,7.67,7.83,7.67,8.58
Laos,OKLAO coffee farms,Laos Borofen Plateau,Semi Washed,8.33,8.42,8.08,8.17,7.92,8.17,8.33
Colombia,Finca Santuario,Popayan;Cauca,Honey;Mossto,8.33,8.33,8.08,8.25,7.92,7.92,8.25
Guatemala,La Colina,Chimaltenango,Washed / Wet,8.33,8.33,8.25,7.83,7.83,8.17,8.25
Costa Rica,La Cumbre,Los Santos;Tarrazu,Washed / Wet,8.08,8.17,8.17,8.25,8.17,8.08,8.25
Guatemala,Finca Vista Hermosa,Guatemala; Fraijanes; Santa Rosa,Natural / Dry,8,7.92,8.08,7.92,7.75,8,8.08
Thailand,Hom Doi,Chiang Mai,Pulped natural / honey,7.67,8,7.83,8,8.08,8,8.08
Ethiopia,Halo Bariti Cooprative,Gedeb;Yirgacheffe;Sidamo,Washed / Wet,8.17,8.08,7.92,8.17,7.75,7.92,8.08
Nicaragua,Finca Las Dos Marias,ESTELI,Natural / Dry,7.92,7.75,7.67,7.67,7.83,7.75,8
Ethiopia,Gelana Geisha,Guji,Natural / Dry,7.67,8.17,8,8.33,8,8,8
Guatemala,Karen Acajabon Coffee Farm,Acatenango,Natural / Dry,8.08,8,8,7.75,8.25,8.17,8
Ethiopia,TADE GG,Guji,Natural / Dry,8.08,8.25,8,8.08,7.92,7.92,8
Ethiopia,Eshetu farm,Oromia,Washed / Wet,7.67,7.83,7.83,8,8,8,8
United States (Hawaii),Hokukano Ranch,Kona,Washed / Wet,8,7.92,8,7.83,7.67,8,8
Colombia,La Gaitania,tolima,Washed / Wet,8.08,8,8.08,7.92,8.08,8,8
Tanzania; United Republic Of,MASHIMA AMCOS,KILIMANJARO,Washed / Wet,8.08,8.17,8.08,8.17,8,8,8
Vietnam,CupnCare,Quang Tri,Natural / Dry,8,7.83,7.75,7.67,7.58,7.83,7.92
Tanzania; United Republic Of,BURKA,Arusha,Washed / Wet,8.17,8,7.92,7.92,8.17,7.75,7.92
Uganda,Gideon Kule,Rwenzori,Washed / Wet,8,7.92,7.75,7.75,7.75,7.92,7.92
Costa Rica,La Cumbre,Los Santos Tarrazu,Washed / Wet,7.75,7.83,7.67,7.83,7.75,7.75,7.92
Guatemala,san francisco cotzal,Quiche,Washed / Wet,7.83,7.92,7.75,8,7.75,7.75,7.92
Brazil,Fazenda Guariroba,Campo das Vertentes,Double Carbonic Maceration / Natural,7.83,7.92,7.75,7.92,7.67,7.83,7.83
Guatemala,SAN RAFAEL URIAS VALDES,ANTIGUA GUATEMALA,Natural / Dry,7.83,8,7.67,7.83,7.75,7.75,7.83
Ethiopia,Uraga Bisrat washing station,Southern Ethiopia Guji,Natural / Dry,8,8.08,8,8,7.67,7.75,7.83
Colombia,Asociacion Tayronaca,Sierra Nevada de Santa Marta,Washed / Wet,7.75,7.75,7.75,7.75,7.83,7.67,7.83
Tanzania; United Republic Of,IYENGA,Mbeya,Washed / Wet,7.92,7.75,7.75,7.92,7.83,7.83,7.83
Panama,La Santa,Boquete,Washed / Wet,7.83,7.83,7.75,7.92,7.83,7.75,7.83
Madagascar,Mandroso,Itasy,Washed / Wet,7.92,7.92,7.58,7.75,7.58,7.67,7.83
Guatemala,PEÑA BLANCA,Santa Rosa,Washed / Wet,7.67,8,7.75,7.92,8,7.83,7.83
Ethiopia,TRACON TRADING PLC,Ethiopia,Washed / Wet,7.92,7.83,7.75,7.92,7.58,7.67,7.83
Ethiopia,YHAENU PLC FARM,OROMIA,Washed / Wet,7.92,7.75,7.83,8.17,8,7.75,7.83
Indonesia,Lintong Nihuta/Dolok Sanggul;Sumatera Utara,Lintong Nihuta/Dolok Sanggul;Sumatera Utara,Wet Hulling,7.67,7.67,7.83,7.83,7.67,7.75,7.83
Thailand,Baan San Charoen,Nan,Natural / Dry,7.75,7.67,7.58,7.75,7.75,7.67,7.75
Ethiopia,Bisrat Melaku Washing Station,Addis Ababa,Natural / Dry,7.83,7.75,7.58,7.92,8,7.5,7.75
Guatemala,El Morito,New Oriente,Natural / Dry,7.83,7.83,7.58,7.67,7.67,7.58,7.75
Guatemala,FINCA ALTA LUZ,HUEHUETENANGO,Natural / Dry,7.58,7.83,7.67,7.67,7.67,7.67,7.75
Uganda,Bugisu Shamba,Mt Elgon,Washed / Wet,7.75,7.75,7.5,7.5,7.58,7.58,7.75
Ethiopia,Ecom Agroindustrial,Sidama,Washed / Wet,8,7.75,7.5,7.67,7.67,7.67,7.75
Guatemala,Finca Alta Luz,Huehuetenango,Washed / Wet,7.67,7.83,7.75,7.75,7.83,7.75,7.75
Mexico,Finca Custepec,Chiapas,Washed / Wet,7.67,7.67,7.58,7.67,7.83,7.58,7.75
Costa Rica,Gamboa Farm,Tarrazu,Washed / Wet,7.67,7.92,7.58,7.75,7.67,7.58,7.75
Ethiopia,Gerbicho Lela Cooperative,Sidama,Washed / Wet,7.83,7.67,7.5,7.92,7.5,7.67,7.75
